Soil;Year;replicate;nifH/Eubact;nirK/Eubact;amoAOB/Eubact;amoAOA/Archaea;nirS/eubacterias;nosZ/eubacterias;colonizacion (%);arbusculos (%);número de esporas;CIC;NH4;NO3;P'bray;ph;MO;balance NO3/NH4;balance NH4/NO3
A1;1;1;0,000233703;0,00038584;3,70631E-08;0,033136967;9,84635E-06;1,85791E-05;27,6;1,05;198;8,22;8,4;46,55;113;7,61;2,77;5,541666667;0,180451128
A1;1;2;0,000357849;0,000281754;2,15705E-08;0,030082894;0,000015966;5,72218E-05;31,22;0,83;226;8,22;8,4;46,55;113;7,61;2,77;5,541666667;0,180451128
A1;1;3;0,000289137;0,000472901;3,75173E-08;0,040076237;8,81134E-06;2,29861E-05;31;1,12;212;8,22;8,4;46,55;113;7,61;2,77;5,541666667;0,180451128
A1;2;1;6,98118E-05;1,76602E-05;7,10814E-07;0,14701933;7,76008E-05;2,32396E-05;38,98;1,07;197;11,22;2,45;31,85;136,9;7,51;3,41;13;0,076923077
A1;2;2;5,87424E-05;5,91053E-05;9,8282E-07;0,188871969;7,81718E-05;2,58576E-05;32,14;1,51;243;11,22;2,45;31,85;136,9;7,51;3,41;13;0,076923077
A1;2;3;5,32565E-05;7,44922E-05;6,76375E-07;0,164050872;0,000319947;3,57297E-05;37,42;1,09;220;11,22;2,45;31,85;136,9;7,51;3,41;13;0,076923077
A1;3;1;0,000525373;0,037377603;1,91019E-05;0,415749324;0,000185138;0,001356941;45;24,8;27;6,5;1,4;8,3;87,9;6,92;2,27;5,928571429;0,168674699
A1;3;2;0,000490121;0,030243919;1,67332E-05;0,342859526;0,000217981;0,001700539;38,5;22,2;26;6,5;1,4;8,3;87,9;6,92;2,27;5,928571429;0,168674699
A1;3;3;0,000546114;0,015139124;1,47186E-05;0,487150999;0,000256824;0,001247448;40;23;29;6,5;1,4;8,3;87,9;6,92;2,27;5,928571429;0,168674699
A2;1;1;0,000268149;0,000892132;3,81684E-08;0,203121183;2,56942E-06;0,000336749;36;3,84;251;10,89;31,5;35;113,9;7,43;3,27;1,111111111;0,9
A2;1;2;0,000282669;0,000210297;9,32157E-08;0,298447576;3,22725E-06;0,000201345;38,03;3,12;298;10,89;31,5;35;113,9;7,43;3,27;1,111111111;0,9
A2;1;3;0,000291101;0,00042352;6,96899E-08;0,112173315;1,56903E-06;0,000184901;38;3,49;275;10,89;31,5;35;113,9;7,43;3,27;1,111111111;0,9
A2;2;1;0,00175109;0,020253339;7,26277E-05;0,131817445;0,000240486;2,12352E-05;61,76;5,06;245;5,96;5,25;50,75;73,3;7,71;1,83;9,666666667;0,103448276
A2;2;2;0,001770457;0,02096764;6,21135E-05;0,111827673;0,000353839;4,73312E-05;68,42;3,76;319;5,96;5,25;50,75;73,3;7,71;1,83;9,666666667;0,103448276
A2;2;3;0,002523231;0,014686833;4,49338E-05;0,073948208;0,000261461;1,95207E-05;65,3;3,98;282;5,96;5,25;50,75;73,3;7,71;1,83;9,666666667;0,103448276
A2;3;1;0,000572073;0,139723347;0,000101471;0,278497274;0,000428;0,002770603;31,1;18,9;39;5,1;1,8;3,9;82,5;7,36;1,73;2,166666667;0,461538462
A2;3;2;0,000652112;0,119105303;6,09255E-05;0,258802711;0,000409951;0,002425228;27,8;16,5;40;5,1;1,8;3,9;82,5;7,36;1,73;2,166666667;0,461538462
A2;3;3;0,000450667;0,118260081;7,22005E-05;0,349915403;0,000536914;0,002170103;28;16;37;5,1;1,8;3,9;82,5;7,36;1,73;2,166666667;0,461538462
BG;1;1;0,000506794;0,039810732;9,37849E-07;0,01533125;0,000645496;0,000255479;48,1;5,88;296;5,04;10,85;33,95;48,3;7,16;1,02;3,129032258;0,319587629
BG;1;2;0,000457987;0,029507207;1,06488E-06;0,015326087;0,000830625;0,000239714;45;6,35;384;5,04;10,85;33,95;48,3;7,16;1,02;3,129032258;0,319587629
BG;1;3;0,000432089;0,023077059;3,56383E-07;0,018596549;0,00110241;0,000308926;46,7;5,98;340;5,04;10,85;33,95;48,3;7,16;1,02;3,129032258;0,319587629
BG;2;1;0,000651069;0,061764287;9,46636E-06;0,000813624;0,000556006;2,69228E-05;51,22;2,44;396;4,28;2,1;12,25;29,4;6,68;0,82;5,833333333;0,171428571
BG;2;2;0,000652193;0,045211479;1,36414E-05;0,000110669;0,000605629;2,07142E-05;49,84;2,74;416;4,28;2,1;12,25;29,4;6,68;0,82;5,833333333;0,171428571
BG;2;3;0,000335248;0,072633266;6,06323E-06;0,000627584;0,000376306;1,79416E-05;50,2;2,3;406;4,28;2,1;12,25;29,4;6,68;0,82;5,833333333;0,171428571
BG;3;1;0,000554108;0,038674519;2,00959E-05;2,52331E-05;0,000551212;0,016675028;27,6;20,4;47;7,3;1,4;20,2;161,4;8,13;3,61;14,42857143;0,069306931
BG;3;2;0,000610078;0,035459895;3,61767E-05;4,73038E-05;0,000455805;0,011238484;25,5;18,6;50;7,3;1,4;20,2;161,4;8,13;3,61;14,42857143;0,069306931
